id,title,price,promo_price,url
3596774,Конструктор LEGO Friends Кьюб Оливии для игр 41667,889,799,https://www.detmir.ru/product/index/id/3596774/
3099183,Конструктор LEGO City Trains Рельсы 60205,1789,,https://www.detmir.ru/product/index/id/3099183/
3200881,Конструктор LEGO Disney Frozen Деревня в Эренделле 41167,8989,,https://www.detmir.ru/product/index/id/3200881/
3596778,Конструктор LEGO Friends Кьюб Андреа для плавания 41671,889,699,https://www.detmir.ru/product/index/id/3596778/
3597050,Конструктор LEGO Speed Champions Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A 76904,6589,,https://www.detmir.ru/product/index/id/3597050/
3594626,Конструктор LEGO Minifigures Минифигурки Looney Tunes в непрозрачной упаковке (Сюрприз)71030,329,,https://www.detmir.ru/product/index/id/3594626/
3244576,Конструктор LEGO Super Mario Огневой налёт Билла-банзай 71366,3229,2099,https://www.detmir.ru/product/index/id/3244576/
3405560,Конструктор LEGO Friends Кьюб Андреа с кроликом 41666,889,619,https://www.detmir.ru/product/index/id/3405560/
3226632,Конструктор LEGO Technic Гоночный автомобиль Top Gear 42109,14989,,https://www.detmir.ru/product/index/id/3226632/
3405632,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок трансфигурации 76382,3349,,https://www.detmir.ru/product/index/id/3405632/
3596715,Конструктор LEGO Mickey and Friends Пожарная часть и машина Микки и его друзей 10776,5389,3769,https://www.detmir.ru/product/index/id/3596715/
3405580,Конструктор LEGO City Town Дорожные пластины 60304,1789,1599,https://www.detmir.ru/product/index/id/3405580/
3599719,Конструктор LEGO VIDIYO Metal Dragon BeatBox (Битбокс Дракона-Металлиста) 43109,1789,1349,https://www.detmir.ru/product/index/id/3599719/
3405592,Конструктор LEGO City Great Vehicles Трактор 60287,1789,1499,https://www.detmir.ru/product/index/id/3405592/
3498474,Конструктор LEGO Vidiyo Бэндмейты 43101,469,409,https://www.detmir.ru/product/index/id/3498474/
3405654,Конструктор LEGO Technic Bugatti Chiron 42083,41869,,https://www.detmir.ru/product/index/id/3405654/
